"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,4.071172,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2000","2000","PC","Percentage","0","Units",,,7.347199,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2001","2001","PC","Percentage","0","Units",,,6.79506,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2002","2002","PC","Percentage","0","Units",,,7.754203,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,7.87676,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,8.994254,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,9.020499,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,9.031589,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,8.973062,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,9.403295,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,9.422161,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,9.168479,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,10.01581,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,10.49958,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,9.95752,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,10.14954,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,9.747638,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,9.863013,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2000","2000","PC","Percentage","0","Units",,,3.604738,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2001","2001","PC","Percentage","0","Units",,,2.888713,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2002","2002","PC","Percentage","0","Units",,,2.994936,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,3.442904,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,3.149173,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,2.996441,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,3.397074,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,3.562387,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,3.681875,"B","Break"
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,3.699568,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,4.117219,,
"GBR","United Kingdom","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,4.640093,,
